ELI,ELI Description,PCE Series Code,PCE Description
RB022,VETERINARIAN SERVICES,DVETRC,Veterinary and other services for pets
RC011,OUTBOARD MOTORS AND POWERED SPORTS VEHICLES,DREVRC,Other recreational vehicles
RC011,OUTBOARD MOTORS AND POWERED SPORTS VEHICLES,DSPGRC,"Sporting equipment, supplies, guns, and ammunition"
RC011,OUTBOARD MOTORS AND POWERED SPORTS VEHICLES,DBOARC,Pleasure boats
RC012,UNPOWERED BOATS AND TRAILERS,DBOARC,Pleasure boats
RC012,UNPOWERED BOATS AND TRAILERS,DREVRC,Other recreational vehicles
RC013,BICYCLES AND ACCESSORIES,DBCYRC,Bicycles and accessories
RC021,GENERAL SPORTS EQUIPMENT EXCLUDING WATER,DDOLRC,"Games, toys, and hobbies"
RC021,GENERAL SPORTS EQUIPMENT EXCLUDING WATER,DSPGRC,"Sporting equipment, supplies, guns, and ammunition"
RC021,GENERAL SPORTS EQUIPMENT EXCLUDING WATER,DSHURC,Shoes and other footwear
RC022,WATER SPORTS EQUIPMENT,DSPGRC,"Sporting equipment, supplies, guns, and ammunition"
RC023,"HUNTING, FISHING, AND CAMPING EQUIPMENT",DSPGRC,"Sporting equipment, supplies, guns, and ammunition"
RC023,"HUNTING, FISHING, AND CAMPING EQUIPMENT",DLUGRC,Luggage and similar personal items
RC090,UNSAMPLED SPORTING GOODS,DREVRC,Other recreational vehicles
RC090,UNSAMPLED SPORTING GOODS,DRRERC,"Maintenance and repair of 
recreational vehicles and sports equipment"
RD011,FILM AND PHOTOGRAPHIC SUPPLIES,DFLMRC,Film and photographic supplies
RD012,PHOTOGRAPHIC EQUIPMENT,DCAMRC,Photographic equipment
RD021,PHOTOGRAPHER'S FEES,DPICRC,Photo studios
RD022,FILM PROCESSING,DFDVRC,Photo processing
RD090,UNSAMPLED PHOTOGRAPHY,DAPIRC,"Repair of audio-visual, photographic, and information processing 
equipment"
RE011,"TOYS, GAMES, HOBBIES, AND PLAYGROUND EQUIPMENT",DDOLRC,"Games, toys, and hobbies"
RE012,"VIDEO GAME HARDWARE, SOFTWARE AND ACCESSORIES",DCPSRC,Computer software and accessories
RE012,"VIDEO GAME HARDWARE, SOFTWARE AND ACCESSORIES",DDOLRC,"Games, toys, and hobbies"
RE021,SEWING ITEMS,DSEWRC,Sewing items
RE021,SEWING ITEMS,DMHARC,Major household appliances
RE031,"MUSIC INSTRUMENTS AND 
ACCESSORIES",DMSCRC,Musical instruments
RE090,UNSAMPLED RECREATION SERVICES,DDOLRC,"Games, toys, and hobbies"
RE090,UNSAMPLED RECREATION SERVICES,DRBKRC,Recreational books
RE090,UNSAMPLED RECREATION SERVICES,DRRERC,"Maintenance and repair of 
recreational vehicles and sports equipment"
RF011,CLUB MEMBERSHIP DUES AND FEES FOR PARTICIPANT SPORTS,DMDFRC,Membership clubs and participant sports centers
RF021,"ADMISSION TO MOVIES, THEATERS, CONCERTS & OTHER RECURRING EVENTS",DMOVRC,Motion picture theaters
RF021,"ADMISSION TO MOVIES, THEATERS, CONCERTS & OTHER RECURRING EVENTS",DMUSRC,Museums and libraries
RF021,"ADMISSION TO MOVIES, THEATERS, CONCERTS & OTHER RECURRING EVENTS",DLIGRC,"Live entertainment, excluding sports"
RF022,ADMISSION TO SPORTING EVENTS,DSPERC,Spectator sports
RF031,FEES FOR LESSONS OR INSTRUCTIONS,DMDFRC,Membership clubs and participant sports centers
RF031,FEES FOR LESSONS OR INSTRUCTIONS,DORSRC,"Amusement parks, campgrounds, and related recreational services"
RF090,UNSAMPLED RECREATION SERVICES,DHOLRC,Package tours
RF090,UNSAMPLED RECREATION SERVICES,DORSRC,"Amusement parks, campgrounds, and related recreational services"
RG011,SINGLE COPY NEWSPAPERS AND MAGAZINES,DMAGRC,Newspapers and periodicals
RG012,SUBSCRIPTIONS TO NEWSPAPERS AND MAGAZINES,DMAGRC,Newspapers and periodicals
RG021,BOOKS PURCHASED THROUGH BOOK CLUBS,DRBKRC,Recreational books
RG022,BOOKS PURCHASED AT RETAIL OUTLETS OTHER THAN BOOK CLUBS,DRBKRC,Recreational books
RG090,UNSAMPLED RECREATIONAL READING MATERIALS,DMAGRC,Newspapers and periodicals
TA011,NEW CAR AND TRUCK PURCHASE,DNDCRC,New domestic autos
TA011,NEW CAR AND TRUCK PURCHASE,DNFCRC,New foreign autos
TA011,NEW CAR AND TRUCK PURCHASE,DNWTRC,New light trucks
TA012,NEW MOTORCYCLES,DMCYRC,Motorcycles
TA021,USED CARS AND TRUCKS,DNETRC,Net transactions in used autos
TA021,USED CARS AND TRUCKS,DUTNRC,Net transactions in used trucks
TA031,VEHICLE LEASING,DALERC,Auto leasing
TA031,VEHICLE LEASING,DTLERC,Truck leasing
TA041,AUTOMOBILE AND TRUCK RENTAL,DMVRRC,Motor vehicle rental
TA090,UNSAMPLED NEW AND USED MOTOR VEHICLES,DMCYRC,Motorcycles
TA090,UNSAMPLED NEW AND USED MOTOR VEHICLES,DMVRRC,Motor vehicle rental
TA090,UNSAMPLED NEW AND USED MOTOR VEHICLES,DORSRC,"Amusement parks, campgrounds, and related recreational services"
TA090,UNSAMPLED NEW AND USED MOTOR VEHICLES,DAIRRC,Pleasure aircraft
TA090,UNSAMPLED NEW AND USED MOTOR VEHICLES,DREVRC,Other recreational vehicles
TB011,REGULAR UNLEADED GASOLINE,DGASRC,Gasoline and other motor fuel
TB012,MID-GRADE UNLEADED GASOLINE,DGASRC,Gasoline and other motor fuel
TB013,PREMIUM UNLEADED GASOLINE,DGASRC,Gasoline and other motor fuel
TB021,AUTOMOTIVE DIESEL FUEL,DGASRC,Gasoline and other motor fuel
TB022,ALTERNATIVE MOTOR FUELS,DGASRC,Gasoline and other motor fuel
TC011,TIRES,DMCYRC,Motorcycles
TC011,TIRES,DTATRC,Tires
TC021,VEHICLE PARTS AND EQUIPMENT OTHER THAN TIRES,DPAARC,Accessories and parts
TC022,"MOTOR OIL, COOLANT AND FLUIDS",DLUBRC,Lubricants and fluids
TD011,MOTOR VEHICLE BODY WORK,DVMRRC,Motor vehicle maintenance and repair
TD021,MOTOR VEHICLE MAINTENANCE AND SERVICING,DVMRRC,Motor vehicle maintenance and repair
TD031,MOTOR VEHICLE REPAIR,DVMRRC,Motor vehicle maintenance and repair
TD090,UNSAMPLED VEHICLE MAINTENANCE AND REPAIR,DVMRRC,Motor vehicle maintenance and repair
TE011,MOTOR VEHICLE INSURANCE,DTINRC,"Net motor vehicle and other 
transportation insurance"
TF011,STATE VEHICLE REGISTRATION AND DRIVER'S LICENSE,N/A,N/A
TF012,LOCAL VEHICLE REGISTRATION AND LICENSE,N/A,N/A
TF031,PARKING FEES AND TOLLS,DPFTRC,Parking fees and tolls
TF032,AUTOMOBILE SERVICE CLUBS,DHOLRC,Package tours
TF032,AUTOMOBILE SERVICE CLUBS,DORTRC,Other road transportation service
TF090,UNSAMPLED MOTOR VEHICLE FEES,DMDFRC,Membership clubs and participant
TG011,AIRLINE FARES,DAFTRC,Passenger fares for foreign travel
TG011,AIRLINE FARES,DAITRC,Air transportation
TG021,INTERCITY BUS FARES,DIBURC,Intercity buses
TG022,INTERCITY TRAIN FARES,DIRRRC,Railway transportation
TG023,SHIP FARES,DAFTRC,Passenger fares for foreign travel
TG023,SHIP FARES,DWATRC,Water transportation
TG031,INTRACITY MASS TRANSIT,DIMTRC,Intracity mass transit
TG031,INTRACITY MASS TRANSIT,DORTRC,Other road transportation service
TG032,TAXI FARES,DORTRC,Other road transportation service
TG032,TAXI FARES,DTAXRC,Taxicabs
TG033,CAR AND VAN POOLS,DORTRC,Other road transportation service
TG090,"UNSAMPLED PUBLIC 
TRANSPORTATION",DORTRC,Other road transportation service
